Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,01/03/2024,SPOTIFY USA,-9.99,ACH_DEBIT,4521.45,
DEBIT,01/05/2024,UBER EATS,-23.47,DEBIT_CARD,4497.98,
DEBIT,01/07/2024,AMAZON.COM,-67.82,DEBIT_CARD,4430.16,
DEBIT,01/08/2024,SHELL OIL 57442,-45.30,DEBIT_CARD,4384.86,
CREDIT,01/10/2024,PAYROLL DIRECT DEP,3250.00,ACH_CREDIT,7634.86,
DEBIT,01/12/2024,RENT PAYMENT,-1800.00,ACH_DEBIT,5834.86,
DEBIT,01/14/2024,CHIPOTLE 1294,-12.95,DEBIT_CARD,5821.91,
DEBIT,01/15/2024,WALMART SUPERCENTER,-84.23,DEBIT_CARD,5737.68,
DEBIT,01/17/2024,STARBUCKS STORE 892,-6.45,DEBIT_CARD,5731.23,
DEBIT,01/18/2024,NETFLIX.COM,-15.49,ACH_DEBIT,5715.74,
DEBIT,01/19/2024,ZELLE TRANSFER TO JOHN,-200.00,DEBIT_CARD,5515.74,
DEBIT,01/21/2024,ELECTRIC COMPANY,-125.67,ACH_DEBIT,5390.07,
DEBIT,01/22/2024,TARGET STORE 4521,-43.18,DEBIT_CARD,5346.89,
CREDIT,01/25/2024,PAYROLL DIRECT DEP,3250.00,ACH_CREDIT,8596.89,
DEBIT,01/27/2024,DOORDASH DASHER,-31.42,DEBIT_CARD,8565.47,
DEBIT,01/28/2024,LYFT RIDE,-18.75,DEBIT_CARD,8546.72,
DEBIT,01/30/2024,WATER UTILITY,-67.89,ACH_DEBIT,8478.83,
DEBIT,01/31/2024,AMAZON.COM,-129.99,DEBIT_CARD,8348.84,
